Doc1,Doc2,Sim%
1,10,29.173167
1,11,28.310502
1,12,30.841121
1,13,28.134557
1,14,35.268817
1,15,33.333333
1,16,31.365936
1,17,26.410256
1,18,32.304900
1,19,33.168317
1,2,33.846154
1,20,32.372506
1,3,35.294118
1,4,31.438127
1,5,33.626374
1,6,33.395176
1,7,27.694611
1,8,27.777778
1,9,35.869565
10,11,27.503016
10,12,27.653631
10,13,26.899879
10,14,30.293663
10,15,29.956585
10,16,28.294574
10,17,22.530329
10,18,29.178082
10,19,25.542571
10,2,30.000000
10,20,28.120063
10,3,31.492537
10,4,28.534704
10,5,28.638498
10,6,29.763561
10,7,26.571767
10,8,27.088305
10,9,29.675425
11,12,27.086183
11,13,26.272189
11,14,30.000000
11,15,29.320113
11,16,28.244275
11,17,21.548822
11,18,29.459459
11,19,24.512987
11,2,28.830084
11,20,27.469136
11,3,30.043541
11,4,28.156566
11,5,28.177642
11,6,29.331514
11,7,26.107226
11,8,25.874126
11,9,29.590288
12,13,27.097662
12,14,31.918819
12,15,31.175468
12,16,29.491018
12,17,25.324675
12,18,30.818620
12,19,27.607362
12,2,31.208054
12,20,30.095238
12,3,33.038869
12,4,29.185185
12,5,30.451128
12,6,31.321370
12,7,26.720648
12,8,27.137042
12,9,32.897196
13,14,29.635258
13,15,29.160740
13,16,27.770701
13,17,21.731749
13,18,28.958051
13,19,24.713584
13,2,29.395218
13,20,27.682737
13,3,30.072993
13,4,28.010139
13,5,28.197227
13,6,29.532967
13,7,25.670945
13,8,25.730994
13,9,29.618321
14,15,34.942085
14,16,32.775920
14,17,28.934010
14,18,34.054054
14,19,31.353919
14,2,34.659091
14,20,33.624454
14,3,36.673347
14,4,32.615894
14,5,35.140998
14,6,34.926471
14,7,29.166667
14,8,29.446936
14,9,36.460554
15,16,32.037325
15,17,27.088036
15,18,33.166667
15,19,31.601732
15,2,33.449477
15,20,33.667335
15,3,35.727440
15,4,31.490015
15,5,33.992095
15,6,34.183673
15,7,28.910615
15,8,28.811189
15,9,34.169884
16,17,24.150943
16,18,31.277533
16,19,27.124774
16,2,31.050228
16,20,30.256410
16,3,33.120000
16,4,30.273973
16,5,30.795262
16,6,31.743666
16,7,28.535354
16,8,28.121059
16,9,32.328308
17,18,26.403326
17,19,26.363636
17,2,26.651982
17,20,27.272727
17,3,27.272727
17,4,23.836127
17,5,27.154047
17,6,26.694915
17,7,21.192053
17,8,21.464226
17,9,27.594937
18,19,28.796844
18,2,32.733224
18,20,31.851852
18,3,35.294118
18,4,31.149927
18,5,32.175503
18,6,33.014354
18,7,28.723404
18,8,28.457447
18,9,34.057971
19,2,28.898129
19,20,29.280397
19,3,32.511211
19,4,27.012522
19,5,31.683168
19,6,30.425963
19,7,24.121406
19,8,24.198718
19,9,30.094787
2,20,33.137255
2,3,34.712230
2,4,30.920060
2,5,32.437620
2,6,33.277870
2,7,28.257888
2,8,28.689655
2,9,34.923664
20,3,34.854772
20,4,30.118443
20,5,33.408578
20,6,33.714286
20,7,27.245053
20,8,27.134146
20,9,36.629213
3,4,33.598726
3,5,35.450820
3,6,35.438596
3,7,29.799427
3,8,30.259366
3,9,36.693548
4,5,31.092437
4,6,31.610044
4,7,27.965044
4,8,27.556110
4,9,32.392027
5,6,33.271028
5,7,27.945619
5,8,27.643505
5,9,33.982684
6,7,28.763441
6,8,29.364005
6,9,34.438306
7,8,25.866051
7,9,28.763040
8,9,29.624060
