1,10,0.2,0
1,11,0.185,0
1,12,0.18,0
1,13,0.175,0
1,14,0.19,0
1,15,0.205,0
1,16,0.18,0
1,17,0.15,0
1,18,0.205,0
1,19,0.18,0
1,2,0.245,0
1,20,0.15,0
1,3,0.18,0
1,4,0.23,0
1,5,0.18,0
1,6,0.24,0
1,7,0.15,0
1,8,0.18,0
1,9,0.175,0
10,11,0.175,0
10,12,0.175,0
10,13,0.18,0
10,14,0.16,0
10,15,0.225,0
10,16,0.2,0
10,17,0.1,0
10,18,0.205,0
10,19,0.15,0
10,2,0.225,0
10,20,0.15,0
10,3,0.2,0
10,4,0.185,0
10,5,0.17,0
10,6,0.24,0
10,7,0.225,0
10,8,0.19,0
10,9,0.18,0
11,12,0.165,0
11,13,0.165,0
11,14,0.15,0
11,15,0.17,0
11,16,0.17,0
11,17,0.095,0
11,18,0.195,0
11,19,0.095,0
11,2,0.215,0
11,20,0.15,0
11,3,0.165,0
11,4,0.16,0
11,5,0.15,0
11,6,0.19,0
11,7,0.15,0
11,8,0.16,0
11,9,0.15,0
12,13,0.14,0
12,14,0.155,0
12,15,0.175,0
12,16,0.165,0
12,17,0.095,0
12,18,0.165,0
12,19,0.155,0
12,2,0.205,0
12,20,0.105,0
12,3,0.18,0
12,4,0.175,0
12,5,0.165,0
12,6,0.175,0
12,7,0.125,0
12,8,0.15,0
12,9,0.155,0
13,14,0.145,0
13,15,0.165,0
13,16,0.165,0
13,17,0.095,0
13,18,0.195,0
13,19,0.13,0
13,2,0.215,0
13,20,0.15,0
13,3,0.165,0
13,4,0.19,0
13,5,0.145,0
13,6,0.21,0
13,7,0.14,0
13,8,0.185,0
13,9,0.185,0
14,15,0.21,0
14,16,0.2,0
14,17,0.14,0
14,18,0.18,0
14,19,0.135,0
14,2,0.22,0
14,20,0.135,0
14,3,0.155,0
14,4,0.195,0
14,5,0.155,0
14,6,0.205,0
14,7,0.145,0
14,8,0.185,0
14,9,0.19,0
15,16,0.23,0
15,17,0.14,0
15,18,0.23,0
15,19,0.15,0
15,2,0.23,0
15,20,0.145,0
15,3,0.195,0
15,4,0.22,0
15,5,0.19,0
15,6,0.225,0
15,7,0.19,0
15,8,0.185,0
15,9,0.195,0
16,17,0.105,0
16,18,0.18,0
16,19,0.105,0
16,2,0.235,0
16,20,0.155,0
16,3,0.18,0
16,4,0.17,0
16,5,0.145,0
16,6,0.23,0
16,7,0.21,0
16,8,0.22,0
16,9,0.165,0
17,18,0.145,0
17,19,0.095,0
17,2,0.165,0
17,20,0.085,0
17,3,0.13,0
17,4,0.095,0
17,5,0.115,0
17,6,0.145,0
17,7,0.085,0
17,8,0.125,0
17,9,0.11,0
18,19,0.18,0
18,2,0.235,0
18,20,0.185,0
18,3,0.185,0
18,4,0.2,0
18,5,0.2,0
18,6,0.24,0
18,7,0.15,0
18,8,0.205,0
18,9,0.18,0
19,2,0.15,0
19,20,0.12,0
19,3,0.14,0
19,4,0.135,0
19,5,0.165,0
19,6,0.185,0
19,7,0.085,0
19,8,0.11,0
19,9,0.115,0
2,20,0.18,0
2,3,0.2,0
2,4,0.205,0
2,5,0.165,0
2,6,0.25,0
2,7,0.19,0
2,8,0.21,0
2,9,0.21,0
20,3,0.125,0
20,4,0.16,0
20,5,0.125,0
20,6,0.175,0
20,7,0.13,0
20,8,0.15,0
20,9,0.16,0
3,4,0.16,0
3,5,0.145,0
3,6,0.185,0
3,7,0.13,0
3,8,0.16,0
3,9,0.15,0
4,5,0.16,0
4,6,0.21,0
4,7,0.16,0
4,8,0.195,0
4,9,0.185,0
5,6,0.195,0
5,7,0.145,0
5,8,0.14,0
5,9,0.175,0
6,7,0.19,0
6,8,0.22,0
6,9,0.205,0
7,8,0.15,0
7,9,0.155,0
8,9,0.165,0
time: 138 ms
